"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100333020322130",-70.101,-20.2751,119.039,22.541,46,1185,543,9,8
"2100333020322131",-70.0955,-20.2751,74.451,11.906,54,1544,921,4,4
"2100333020322132",-70.101,-20.2802,89.286,61.238,40,1440,515,11,7
"2100333020322133",-70.0955,-20.2802,51.359,12.749,50,1897,1727,62,12
"2100333020322202",-70.13399999999999,-20.2905,1.762,0.204,113,4701,7650,1,1
"2100333020322203",-70.1285,-20.2905,56.656,22.108,59,628,1058,2,2
"2100333020322210",-70.123,-20.285400000000003,7.263,1.217,110,3127,3257,3,2
"2100333020322212",-70.123,-20.2905,93.492,21.458,50,710,820,5,4
"2100333020322303",-70.1065,-20.2905,33.297,9.562,51,1140,2086,8,4
"2100333020322310",-70.101,-20.285400000000003,74.631,60.622,37,1747,935,9,7
"2100333020322311",-70.0955,-20.285400000000003,120.608,32.954,145,1327,648,29,4
"2100333020322312",-70.101,-20.2905,25.107,8.42,38,1129,1727,8,6
"2100333020322313",-70.0955,-20.2905,314.769,52.059,40,531,469,3,3
"2100333020322320",-70.112,-20.295700000000004,118.627,12.056,34,365,371,2,1
"2100333020322321",-70.1065,-20.295700000000004,63.34,21.398,54,1021,1551,26,13
"2100333020322322",-70.112,-20.3008,45.341,2.344,49,959,1364,3,3
"2100333020322323",-70.1065,-20.3008,44.008,9.834,59,1879,1186,25,6
"2100333020322330",-70.101,-20.295700000000004,135.517,11.266,44,3260,1288,9,8
"2100333020322331",-70.0955,-20.295700000000004,33.243,8.384,50,1547,1315,54,8
"2100333020322332",-70.101,-20.3008,64.042,58.471,44,1829,2776,8,5
"2100333020322333",-70.0955,-20.3008,69.64,36.219,25,2529,1656,7,5
"2100333020323001",-70.0845,-20.2648,8.522,13.84,33,1517,1124,1,1
"2100333020323002",-70.09,-20.2699,71.602,20.607,38,1750,2855,6,4
"2100333020323010",-70.079,-20.2648,51.488,8.979,46,1331,1311,9,5
"2100333020323020",-70.09,-20.2751,62.781,3.382,36,,1374,1,1
"2100333020323022",-70.09,-20.2802,137.153,12.167,38,1106,934,5,3
"2100333020323023",-70.0845,-20.2802,73.24,16.668,56,1355,846,7,6
"2100333020323032",-70.079,-20.2802,12.632,17.55,43,3313,1360,3,2
"2100333020323101",-70.0626,-20.2648,32.399,7.428,50,978,1880,10,3
"2100333020323200",-70.09,-20.285400000000003,59.048,30.25,31,3279,412,4,3
